"date","open","high","low","close"
2018-06-15,7652.22,7666.66,7168.79,7185.53
2018-06-16,7185.53,7293.21,6610,6625
2018-06-17,6625,6922,6618.03,6825
2018-06-18,6825.73,6872.68,6435,6537.44
2018-06-19,6540.99,6562,6118.68,6477.59
2018-06-20,6479.48,6720,6275.16,6571.47
2018-06-21,6563.47,6666.66,6362.31,6457.69
2018-06-22,6457.69,6560,6320.86,6527.79
2018-06-23,6527.82,6589.03,6380,6431.1
2018-06-24,6431.1,6794.38,6385,6699.01
2018-06-25,6700,6841.74,6551.81,6627.95
2018-06-26,6627.94,6817.23,6572,6758.72
2018-06-27,6751.94,6779.69,6452.01,6495.08
2018-06-28,6499.76,6510,5918.94,6105.99
2018-06-29,6105.49,6260,5777.77,5830
2018-06-30,5829.08,6259.8,5750,6148.32
2018-07-01,6148.32,6350,6001,6072.33
2018-07-02,6073.5,6190.43,5971,6116.75
2018-07-03,6116.75,6137.36,5780,5904.22
2018-07-04,5901.03,6528.99,5811.02,6409.36
2018-07-05,6409.36,6466.75,6301.01,6376.98
2018-07-06,6376.97,6429.99,6251,6345.41
2018-07-07,6345.41,6685,6315.27,6645.99
2018-07-08,6644.21,6655,6441.11,6481.69
2018-07-09,6481.72,6784.92,6455.2,6615
2018-07-10,6614.99,6689,6425,6478.85
2018-07-11,6478.99,6648.54,6472.1,6589.93
2018-07-12,6591.78,6818.16,6508.88,6739.19
2018-07-13,6739.18,6778.73,6667.44,6725
2018-07-14,6726.99,6802.06,6544.04,6601.17
2018-07-15,6601.17,6617,6263,6346.01
2018-07-16,6345.01,6406,6141.11,6177.99
2018-07-17,6176.21,6350,6070,6255
2018-07-18,6252.94,6347.38,6110,6222.99
2018-07-19,6222.02,6335,6178,6283.99
2018-07-20,6282.63,6395,6281.17,6370
2018-07-21,6370.8,6754.99,6362.02,6696.67
2018-07-22,6696.67,7550,6667.72,7434
2018-07-23,7434,7588.08,7225.38,7316.66
2018-07-24,7316.67,7576.28,7291.37,7449.99
2018-07-25,7443.5,7700,7211,7321.27
2018-07-26,7324,7487.49,7288.22,7395.03
2018-07-27,7395.03,7790,7335.5,7758.94
2018-07-28,7758.95,8047.37,7638.8,8031
2018-07-29,8031.01,8491.77,7966.1,8335
2018-07-30,8335,8337.6,8050,8245.87
2018-07-31,8245.85,8313.99,7850.06,7916.99
2018-08-01,7916.99,8285,7805,8196.72
2018-08-02,8196.71,8294.51,8067,8172.78
2018-08-03,8178.99,8278.78,8070,8162.1
2018-08-04,8163.52,8211.74,7866,8126.77
2018-08-05,8126.78,8131,7464.81,7556.93
2018-08-06,7556.93,7709.46,7430,7659
2018-08-07,7659,7663.82,7282.44,7398.68
2018-08-08,7393.11,7540,7323.89,7448.66
2018-08-09,7448.54,7482.65,6884,6942
2018-08-10,6942,7160,6882.29,7015
2018-08-11,7016.18,7120,6821,7028
2018-08-12,7030,7150.46,6392.62,6457.98
2018-08-13,6457.98,6536,6123,6311.99
2018-08-14,6309.16,6622.81,6178.6,6457.33
2018-08-15,6459.57,6527.39,5971,6100.8
2018-08-16,6100,6488,6059.7,6319.99
2018-08-17,6319.99,6472.3,6188,6441.49
2018-08-18,6441.49,6545,5880,6025.03
2018-08-19,6025.02,6449,5966,6392.77
2018-08-20,6391.92,6609,6205.6,6376.19
2018-08-21,6371.71,6525.15,6228,6501.38
2018-08-22,6495.44,6620,6384.41,6463.37
2018-08-23,6463.37,6533,6288,6348.95
2018-08-24,6347.62,6541,6329,6458
2018-08-25,6458,6500,6220,6394.99
2018-08-26,6394.99,6882.54,6365,6653.55
2018-08-27,6654.34,6707.4,6251.2,6437.99
2018-08-28,6437.99,6576.99,6360,6534.65
2018-08-29,6534.65,6789,6440.5,6672.01
2018-08-30,6672.01,6775.27,6568,6637.04
2018-08-31,6635.03,6743.27,6623.64,6709.43
2018-09-01,6711.45,6949.98,6680,6928.99
2018-09-02,6928.98,7135,6905,7060.92
2018-09-03,7061.02,7133.81,6912.34,6972.12
2018-09-04,6972.16,7023,6784.81,6965.58
2018-09-05,6965.58,7089,6888,7046.99
2018-09-06,7046.98,7275,7031,7233.66
2018-09-07,7233.66,7345.45,7174.47,7253.01
2018-09-08,7253.01,7338.28,7213.53,7323.18
2018-09-09,7323.18,7410,7290.29,7367.16
2018-09-10,7367.83,7393.59,6313.23,6405.88
2018-09-11,6405.88,6544,6265,6486.45
2018-09-12,6487.2,6489.23,6320,6449.02
2018-09-13,6449.97,6478,6111,6187.83
2018-09-14,6186.86,6441,6181.55,6326.25
2018-09-15,6326.27,6404,6221,6310.19
2018-09-16,6310.19,6361.29,6169.68,6244.94
2018-09-17,6245,6439,6192.37,6385.01
2018-09-18,6385.01,6584.99,6383.12,6543.84
2018-09-19,6543.86,6549.97,6385.62,6498.01
2018-09-20,6498.01,6565.45,6370,6447.82
2018-09-21,6447.82,6533.84,6409.74,6480.01
2018-09-22,6480.03,6510,6201,6290.15
2018-09-23,6292.94,6390,6234.44,6356.95
2018-09-24,6356.94,6517.7,6123,6411
2018-09-25,6411,6678.23,6325,6647.91
2018-09-26,6647.91,6839.03,6647.91,6718.57
2018-09-27,6719.31,6760,6627,6721.4
2018-09-28,6721.87,6788.23,6609,6677.92
2018-09-29,6677.9,6677.9,6367,6382.89
2018-09-30,6379.99,6476.87,6325.02,6455.83
2018-10-01,6455.88,6557.99,6429,6461.17
2018-10-02,6460.01,6814.8,6434,6788.99
2018-10-03,6786.71,6787.73,6464.57,6545.81
2018-10-04,6549.04,6636,6530.74,6577.75
2018-10-05,6577.77,6667.09,6533,6604.81
2018-10-06,6604.81,6640,6510,6606.86
2018-10-07,6604.13,6616.5,6430,6460.28
2018-10-08,6460.29,6643.46,6450.73,6574.45
2018-10-09,6574.45,6632.98,6543.08,6578.76
2018-10-10,6577.12,6697,6567.21,6620.35
2018-10-11,6619.43,6634.15,6566.01,6570.93
2018-10-12,6569.46,6640,6525,6596.03
2018-10-13,6596.52,6715.6,6592.41,6672.25
2018-10-14,6669.42,6675.29,6530,6576.98
2018-10-15,6576.88,6646.2,6256.55,6300.86
2018-10-16,6298.77,6360,6205,6332.61
2018-10-17,6332.61,6355,6278,6318.47
2018-10-18,6320,6416,6301.05,6379.95
2018-10-19,6379.95,7680,6300,6860.25
2018-10-20,6860.25,7091.41,6650,6824.71
2018-10-21,6823.32,6829.9,6670,6750.01
2018-10-22,6751,6796,6676.01,6732.65
2018-10-23,6734.85,6736.29,6505.55,6576.43
2018-10-24,6576,6663.9,6562.04,6620.52
2018-10-25,6620,6658.05,6555.42,6615.06
2018-10-26,6616.83,6620,6535.27,6573.46
2018-10-27,6572.03,6630,6515.45,6610.94
2018-10-28,6610.95,6621.25,6502.8,6552.15
2018-10-29,6553.25,6570,6520,6533.6
2018-10-30,6533.6,6600,6515.01,6545.09
2018-10-31,6545.09,6557.99,6463.04,6492.98
2018-11-01,6492.98,6514.17,6453,6498.97
2018-11-02,6497.55,6501,6315,6373
2018-11-03,6373,6376.81,6317.01,6335.33
2018-11-04,6335.33,6428,6245.02,6388.99
2018-11-05,6388.99,6460.34,6348.66,6425.2
2018-11-06,6424.73,6448,6388.2,6408.08
2018-11-07,6408.08,6416.6,6345,6391.09
2018-11-08,6388.33,6525,6387,6472.01
2018-11-09,6472.64,6504.39,6431.02,6464.34
2018-11-10,6464.34,6615.15,6462,6581.97
2018-11-11,6579.32,6604.99,6505,6536.31
2018-11-12,6531.98,6560,6468.22,6499.27
2018-11-13,6499.27,6511.53,6391.01,6445.89
2018-11-14,6445.85,6475.55,6422.1,6443.67
2018-11-15,6443.69,6497,6355,6447.29
2018-11-16,6447.29,6483.93,6391.15,6460.48
2018-11-17,6462.03,6498,5628.27,5760.94
2018-11-18,5763.48,5787.35,5403.42,5641.8
2018-11-19,5641.8,5699,5549.25,5638.06
2018-11-20,5638.64,5688.84,5571,5660.59
2018-11-21,5661.58,5738.17,5400,5467.52
2018-11-22,5467.52,5467.56,4600,4671.19
2018-11-23,4675,4977.97,4326,4653.78
2018-11-24,4655.33,4787.2,4469.84,4630.02
2018-11-25,4629.03,4644,4222.94,4355.08
